,datetime,rtt
0,2019-03-23 00:01:55,96.831
1,2019-03-23 00:01:56,1.398
2,2019-03-23 00:01:57,154.163
3,2019-03-23 00:01:57,1.355
4,2019-03-23 00:01:58,19.068
5,2019-03-23 00:01:58,25.123
6,2019-03-23 00:01:58,1.727
7,2019-03-23 00:01:59,154.185
8,2019-03-23 00:02:00,1.407
9,2019-03-23 00:02:00,1.622
10,2019-03-23 00:02:02,1.627
11,2019-03-23 00:02:02,1.587
12,2019-03-23 00:02:03,1.388
13,2019-03-23 00:02:04,1.697
14,2019-03-23 00:02:04,1.668
15,2019-03-23 00:02:07,154.245
16,2019-03-23 00:02:08,1.687
17,2019-03-23 00:02:09,1.377
18,2019-03-23 00:02:09,96.903
19,2019-03-23 00:02:09,1.390
20,2019-03-23 00:02:09,1.370
21,2019-03-23 00:02:10,154.230
22,2019-03-23 00:02:13,2.491
23,2019-03-23 00:02:15,1.668
24,2019-03-23 00:02:18,1.481
25,2019-03-23 00:02:20,2.194
26,2019-03-23 00:02:22,96.801
27,2019-03-23 00:02:23,1.675
28,2019-03-23 00:02:24,1.384
29,2019-03-23 00:02:30,1.375
30,2019-03-23 00:02:30,1.406
31,2019-03-23 00:02:32,154.143
32,2019-03-23 00:02:32,1.632
33,2019-03-23 00:02:34,154.051
34,2019-03-23 00:02:43,154.552
35,2019-03-23 00:02:45,154.767
36,2019-03-23 00:02:48,1.649
37,2019-03-23 00:02:49,1.375
38,2019-03-23 00:02:52,154.168
39,2019-03-23 00:02:58,1.382
40,2019-03-23 00:03:00,1.371
41,2019-03-23 00:03:00,1.731
42,2019-03-23 00:03:01,1.447
43,2019-03-23 00:03:05,1.402
44,2019-03-23 00:03:08,154.216
45,2019-03-23 00:03:09,1.396
46,2019-03-23 00:03:20,96.993
47,2019-03-23 00:03:20,1.363
48,2019-03-23 00:03:21,1.409
49,2019-03-23 00:03:22,96.972
50,2019-03-23 00:03:23,1.405
51,2019-03-23 00:03:32,1.357
52,2019-03-23 00:03:32,2.696
53,2019-03-23 00:03:37,154.182
54,2019-03-23 00:03:39,1.367
55,2019-03-23 00:03:39,2.338
56,2019-03-23 00:03:40,1.979
57,2019-03-23 00:03:42,1.352
58,2019-03-23 00:03:42,1.383
59,2019-03-23 00:03:45,97.866
60,2019-03-23 00:03:45,1.387
61,2019-03-23 00:03:46,154.244
62,2019-03-23 00:03:48,2.463
63,2019-03-23 00:03:52,154.177
64,2019-03-23 00:03:56,1.436
65,2019-03-23 00:03:59,1.350
66,2019-03-23 00:04:01,154.206
67,2019-03-23 00:04:01,1.374
68,2019-03-23 00:04:03,1.402
69,2019-03-23 00:04:05,154.128
70,2019-03-23 00:04:06,1.635
71,2019-03-23 00:04:09,96.858
72,2019-03-23 00:04:09,154.145
73,2019-03-23 00:04:16,1.389
74,2019-03-23 00:04:16,1.704
75,2019-03-23 00:04:18,1.946
